QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 00011001	 RangeCorrection:True	 Correct: 968	 Accuracy: 0.0968
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 00011000	 RangeCorrection:False	 Correct: 947	 Accuracy: 0.0947
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 00011000	 RangeCorrection:True	 Correct: 956	 Accuracy: 0.0956
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 00010111	 RangeCorrection:False	 Correct: 950	 Accuracy: 0.095
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 00010111	 RangeCorrection:True	 Correct: 957	 Accuracy: 0.0957
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 00010110	 RangeCorrection:False	 Correct: 949	 Accuracy: 0.0949
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 00010110	 RangeCorrection:True	 Correct: 931	 Accuracy: 0.0931
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 00010101	 RangeCorrection:False	 Correct: 937	 Accuracy: 0.0937
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 00010101	 RangeCorrection:True	 Correct: 942	 Accuracy: 0.0942
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 00010100	 RangeCorrection:False	 Correct: 929	 Accuracy: 0.0929
